,acq_date,latitude,longitude,provincias
284,2018-02-24,41.1488,-6.8019,Freixo de Espada à Cinta
285,2018-02-24,40.6947,0.5699,Tarragona
286,2018-02-24,41.0907,-0.0212,Bajo Aragón
287,2018-02-24,41.0924,-0.0333,Bajo Aragón
288,2018-02-24,41.1806,1.2324,Tarragonès
289,2018-02-24,39.1237,-5.7925,Badajoz
290,2018-02-24,38.9037,-3.0799,Campo de Montiel
291,2018-02-24,41.8088,-7.6926,Montalegre
292,2018-02-24,41.8043,-7.6998,Vila Real
293,2018-02-24,41.7294,-7.4355,Vila Real
294,2018-02-25,42.5579,-6.9538,El Bierzo
295,2018-02-25,39.6859,-6.6777,Cáceres
296,2018-02-25,40.1375,-6.3697,Cáceres
297,2018-02-25,40.5213,-5.8526,Sierra de Francia
298,2018-02-25,41.8125,-7.6233,Montalegre
299,2018-02-25,41.9887,-8.4965,Viana do Castelo
300,2018-02-25,41.8442,-6.5892,Bragança
301,2018-02-25,41.8464,-6.6022,Bragança
302,2018-02-25,41.633,-4.6848,Valladolid
303,2018-02-25,42.1926,-6.0263,León
304,2018-02-25,42.5556,-6.9403,El Bierzo
305,2018-02-25,39.0992,-5.5793,Badajoz
306,2018-02-25,38.9638,-7.0464,Campo Maior
307,2018-02-25,39.1239,-5.8227,Cáceres
308,2018-02-25,38.8055,-6.6072,Tierra de Badajoz
309,2018-02-25,38.0017,-3.9864,Jaén
310,2018-02-25,41.7792,-1.2046,Zaragoza
311,2018-02-25,41.7715,-1.21,Ribera Alta del Ebro
312,2018-02-25,40.6918,-6.968,Almeida
313,2018-02-25,40.3596,-6.9047,Sabugal
314,2018-02-25,40.3314,-6.9427,Sabugal
315,2018-02-25,40.3243,-6.9349,Sabugal
316,2018-02-25,40.4826,-5.9881,Salamanca
317,2018-02-25,42.1555,-1.1356,Cinco Villas
318,2018-02-25,40.2953,-4.8385,Avila
319,2018-02-25,40.1504,-4.7061,Toledo
320,2018-02-25,40.2904,-1.1364,Teruel
321,2018-02-25,40.4945,-5.862,Sierra de Béjar
322,2018-02-25,42.0912,-1.2189,Cinco Villas
323,2018-02-25,42.0928,-1.2063,Cinco Villas
324,2018-02-25,41.9222,-1.734,Zaragoza
325,2018-02-25,41.8438,-1.2837,Zaragoza
326,2018-02-25,42.5647,-6.9464,El Bierzo
327,2018-02-25,42.5614,-6.9548,El Bierzo
328,2018-02-25,42.5638,-6.9412,El Bierzo
329,2018-02-25,41.9851,-6.9882,Ourense
330,2018-02-25,41.9783,-6.0965,Zamora
331,2018-02-25,41.8351,-6.6108,Bragança
332,2018-02-25,41.8376,-6.5966,Bragança
333,2018-02-25,41.7885,-6.7015,Bragança
334,2018-02-25,41.3655,-6.6238,Mogadouro
335,2018-02-25,42.1447,-1.5839,Navarre
336,2018-02-25,42.1357,-1.5817,Navarre
337,2018-02-25,41.8534,-7.7433,Montalegre
338,2018-02-25,43.5315,-5.729,Asturias
339,2018-02-25,42.7566,-6.8651,El Bierzo
340,2018-02-26,42.3586,-1.5152,Navarre
341,2018-02-26,42.9386,-6.5414,Asturias
342,2018-02-26,42.4067,0.9043,Pallars Jussà
343,2018-02-26,42.3491,-1.5365,Navarre
344,2018-02-26,42.3473,-1.5166,Navarre
345,2018-02-26,42.3483,-1.5235,Navarre
346,2018-02-26,42.1257,-1.5727,Navarre
347,2018-02-26,42.9355,-6.5344,Asturias
348,2018-02-26,41.6519,0.4794,Segrià
349,2018-02-26,41.6503,0.4942,Segrià
350,2018-02-26,41.0641,-0.1742,Bajo Aragón
351,2018-02-26,37.4789,-1.724,Alto Guadalentín
352,2018-02-26,41.5389,-0.6622,Zaragoza
353,2018-02-26,41.5357,-0.6646,Zaragoza
354,2018-02-26,41.7559,-8.3014,Terras de Bouro
355,2018-02-26,42.6757,-6.841,Leon
356,2018-02-26,42.6826,-6.837000000000001,El Bierzo
357,2018-02-26,42.6709,-6.8336,El Bierzo
358,2018-02-26,42.275,-6.5055,León
359,2018-02-26,42.2769,-6.4815,León
360,2018-02-26,42.3618,-1.5554,La Jacetania
361,2018-02-26,42.3424,-1.6444,Navarre
362,2018-02-26,41.871,-7.7912,Montalegre
363,2018-02-26,41.8716,-7.7856,Montalegre
364,2018-02-26,41.8604,-7.664,Vila Real
365,2018-02-26,41.8709,-7.4242,Ourense
366,2018-02-26,41.7542,-8.3188,Vila Verde
367,2018-02-26,41.733000000000004,-8.3121,Terras de Bouro
368,2018-02-26,41.7428,-8.208,Terras de Bouro
369,2018-02-26,41.7761,-7.846,Montalegre
370,2018-02-26,41.7277,-8.3215,Vila Verde
371,2018-02-26,41.7294,-8.3041,Braga
372,2018-02-26,41.7556,-7.5597,Chaves
373,2018-02-26,41.6814,-7.3848,Valpaços
374,2018-02-26,40.3231,-6.8207,Sabugal
375,2018-02-26,40.3272,-6.8158,Sabugal
376,2018-02-26,43.5169,-5.737,Asturias
377,2018-02-26,41.876999999999995,-7.7422,Montalegre
378,2018-02-26,41.8774,-7.747999999999999,Montalegre
379,2018-02-27,41.7346,-8.231,Terras de Bouro
380,2018-02-27,41.7253,-8.2029,Braga
381,2018-02-27,41.7392,-8.2028,Terras de Bouro
382,2018-02-27,41.7326,-8.1975,Terras de Bouro
383,2018-02-27,42.2183,-3.8431,Burgos
384,2018-02-27,42.357,-1.6331,Navarre
385,2018-02-27,38.2317,-4.223,Cordova
386,2018-02-27,42.7169,-6.6613,El Bierzo
387,2018-02-27,42.4563,-1.661,Navarre
388,2018-02-27,42.2718,-2.0571,Rioja
389,2018-02-27,42.2477,-1.3392,Cinco Villas
390,2018-02-27,41.8804,-1.3754,Campo de Borja
391,2018-03-02,35.2157,-2.9791,caïdat de Bni Bouifrour القيادة بني بويفرور
392,2018-03-03,38.2254,-1.2817,Vega Alta del Segura
393,2018-03-03,28.1556,-16.4648,Santa Cruz de Tenerife
394,2018-03-08,37.533,-1.4038,Bajo Guadalentín
395,2018-03-08,39.9925,-0.1857,Castelló / Castellón
396,2018-03-08,43.1877,-3.5323,Cantabria
397,2018-03-08,43.3087,-5.0691,Asturias
398,2018-03-10,41.5292,2.1577,Barcelona
399,2018-03-10,43.2637,-4.3769,Cantabria
400,2018-03-10,43.2447,-4.3815,Saja-Nansa
401,2018-03-10,43.2047,-4.3232,Saja-Nansa
402,2018-03-10,43.1856,-4.327,Saja-Nansa
403,2018-03-10,42.5281,2.8291,Céret
404,2018-03-10,43.2853,-3.3467,Asón-Agüera
405,2018-03-10,43.2155,-4.0733,Besaya
406,2018-03-10,43.2084,-4.2421,Saja-Nansa
407,2018-03-10,43.2538,-4.371,Cantabria
408,2018-03-10,43.541000000000004,-5.8329,Asturias
409,2018-03-11,43.2736,-5.2409,Asturias
410,2018-03-11,41.5748,-0.8545,Zaragoza
411,2018-03-13,43.205,-4.3189,Saja-Nansa
412,2018-03-13,43.1917,-3.7251,Valles Pasiegos
413,2018-03-13,43.1859,-3.7194,Valles Pasiegos
414,2018-03-15,43.2758,-2.025,Gipuzkoa
415,2018-03-15,41.9203,0.1766,Huesca
416,2018-03-22,43.5235,-5.7361,Asturias
417,2018-03-22,43.5397,-5.8362,Asturias
418,2018-03-22,40.6133,-3.25,Guadalajara
419,2018-03-22,41.9632,-4.4913,Palencia
420,2018-03-22,39.0063,-6.1871,Badajoz
421,2018-03-22,38.7922,-0.2637,Alicante
422,2018-03-22,38.1054,-3.6257,Jaén
423,2018-03-22,41.7304,-1.0136,Ribera Alta del Ebro
424,2018-03-22,43.5404,-5.8326,Asturias
425,2018-03-24,39.1981,-0.4621,Valencia
426,2018-03-26,38.7138,-0.9693,Albacete
427,2018-03-27,41.232,-5.7831,Zamora
428,2018-03-27,38.2849,-0.7095,Alacant / Alicante
429,2018-03-27,38.2722,-0.7099,Alacant / Alicante
430,2018-03-27,40.3989,-5.757999999999999,Sierra de Béjar
431,2018-03-27,40.3972,-5.7696,Salamanca
432,2018-03-27,41.6763,-6.6201,Bragança
433,2018-03-27,43.5222,-5.7256,Asturias
434,2018-03-27,43.5205,-5.7379,Asturias
435,2018-03-27,41.8909,-6.9204,Vinhais
436,2018-03-27,41.8928,-6.9084,Vinhais
437,2018-03-27,41.7149,-7.2782,Valpaços
438,2018-03-28,41.5847,-0.6822,Zaragoza
439,2018-03-28,42.5088,-0.3541,Huesca
440,2018-03-28,42.5167,-0.3594,Huesca
441,2018-03-28,41.2835,-0.3477,Zaragoza
442,2018-03-28,41.2946,-0.1624,Zaragoza
443,2018-03-28,41.583999999999996,0.4172,Segrià
444,2018-03-28,37.2878,-2.1962,Valle del Almanzora
445,2018-03-28,38.667,-4.0466,Campo de Calatrava
446,2018-03-28,38.5352,-0.5927,Alacant / Alicante
447,2018-03-29,38.6674,-4.0487,Campo de Calatrava
448,2018-03-29,38.6636,-4.0522,Campo de Calatrava
449,2018-03-29,37.2984,-3.7134,Comarca de la Vega de Granada
450,2018-03-29,42.3389,-5.6415,León
451,2018-03-29,41.5979,-4.7241,Valladolid
452,2018-03-29,41.5999,-4.7117,Valladolid
453,2018-03-30,37.5564,-1.7501,Alto Guadalentín
454,2018-03-31,41.9642,-4.4903,Palencia
455,2018-03-31,41.9576,-4.4982,Palencia
456,2018-03-31,38.4843,-5.9808,Badajoz
457,2018-03-31,37.2301,-3.6422,Comarca de la Vega de Granada
458,2018-03-31,37.848,-4.7861,Cordova
459,2018-04-02,42.8656,-2.67,Araba / Álava
460,2018-04-02,42.3743,-2.7906,Rioja
461,2018-04-02,42.299,-2.1177,La Rioja
462,2018-04-02,42.3009,-2.1298,Rioja
463,2018-04-02,42.3725,-2.7787,La Rioja
464,2018-04-02,43.0663,-1.1087,Bayonne
465,2018-04-02,43.0767,-1.0506,Bayonne
466,2018-04-02,43.0543,-1.1186,Bayonne
467,2018-04-02,43.0569,-1.1042,Bayonne
468,2018-04-04,42.3559,2.4025,Ripollès
469,2018-04-04,37.3254,-2.3006,Valle del Almanzora
470,2018-04-04,38.6465,-0.9088,Alicante
471,2018-04-05,42.2339,-1.6775,Navarre
472,2018-04-05,42.2323,-1.6911,Navarre
473,2018-04-08,28.183000000000003,-16.605999999999998,Santa Cruz de Tenerife
474,2018-04-08,28.1932,-16.6038,Santa Cruz de Tenerife
475,2018-04-08,28.1917,-16.6138,Santa Cruz de Tenerife
476,2018-04-09,39.3064,-0.4231,Valencia
477,2018-04-09,38.8911,-2.1373,Albacete
478,2018-04-09,28.1973,-16.6087,Santa Cruz de Tenerife
479,2018-04-09,39.014,-1.8869,Albacete
480,2018-04-09,28.1941,-16.5993,Santa Cruz de Tenerife
481,2018-04-10,28.1929,-16.5995,Santa Cruz de Tenerife
482,2018-04-10,28.1897,-16.5926,Santa Cruz de Tenerife
483,2018-04-10,28.2004,-16.5899,Santa Cruz de Tenerife
484,2018-04-10,28.2019,-16.6033,Santa Cruz de Tenerife
485,2018-04-10,28.1914,-16.5857,Santa Cruz de Tenerife
486,2018-04-10,28.2022,-16.5836,Santa Cruz de Tenerife
487,2018-04-10,28.2036,-16.5967,Santa Cruz de Tenerife
488,2018-04-10,28.2048,-16.5872,Santa Cruz de Tenerife
489,2018-04-10,28.2071,-16.6007,Santa Cruz de Tenerife
490,2018-04-10,28.1548,-16.4848,Santa Cruz de Tenerife
491,2018-04-10,28.1913,-16.5832,Santa Cruz de Tenerife
492,2018-04-10,28.1934,-16.596,Santa Cruz de Tenerife
493,2018-04-10,28.1951,-16.5891,Santa Cruz de Tenerife
